id,status_group
69572,functional
8776,functional
34310,functional
67743,functional
19728,non functional
9944,non functional
19816,non functional
54551,non functional
53934,non functional
46144,functional
49056,functional
50409,non functional
36957,functional
50495,functional
53752,functional
61848,non functional
48451,non functional
58155,functional
34169,non functional
18274,non functional
48375,functional
6091,non functional
58500,functional
37862,functional
51058,functional
22308,non functional
55012,functional
20145,functional needs repair
19685,non functional
69124,functional
46804,functional
6696,non functional
57238,functional needs repair
12402,non functional
41583,functional
57355,non functional
67359,non functional
60048,functional
16583,non functional
25,functional needs repair
70238,functional
12796,functional
52019,functional
19282,non functional
1843,functional
12958,functional
45111,functional
13620,functional
18864,non functional
25182,functional
3228,non functional
19308,non functional
10745,functional
32376,functional
9417,functional
68724,functional
74197,functional needs repair
22961,non functional
24593,functional
31714,non functional
29952,non functional
40393,non functional
2127,non functional
8265,non functional
67433,functional
51072,functional
34255,functional
22108,functional
4720,non functional
54801,functional
21990,functional
17386,functional
41609,functional
35715,functional
53970,functional
62971,non functional
63542,functional
15622,functional
12903,functional
52561,functional
19415,functional
65531,functional
3675,functional
34383,non functional
30423,functional
68717,non functional
3688,functional
30537,functional
27312,functional
22143,functional
43237,functional
62591,functional
39920,non functional
70892,non functional
48593,non functional
26419,functional
68554,functional
29083,non functional
33379,functional
43206,non functional
41743,functional
17970,non functional
25693,functional
39364,functional needs repair
57580,functional
23000,functional
59902,functional
60371,functional
74246,functional
7116,functional
64063,functional
59983,functional
10784,functional
49503,non functional
54248,functional
24409,functional
21068,functional
62341,non functional
10837,functional
35458,non functional
36038,functional
64447,non functional
22897,functional
2915,non functional
14016,functional
69525,functional
73061,functional needs repair
42031,functional
33235,non functional
41839,non functional
62002,functional
6106,non functional
25915,functional
20673,non functional
59475,functional
24012,non functional
69107,non functional
64062,non functional
44002,functional
37471,functional
49585,non functional
60852,functional
64130,non functional
17687,non functional
38876,functional
28669,non functional
73769,non functional
66521,functional
53167,functional
24232,functional
65788,non functional
72981,functional
60983,non functional
37768,functional
64880,functional
32871,functional
45564,functional
23519,functional
50173,non functional
66843,functional
13815,functional
36591,non functional
71845,functional
42180,non functional
63632,functional
55594,functional
11787,functional
48528,non functional
72678,functional
50970,functional
37840,functional
44258,functional
10715,non functional
12120,functional
67980,functional
41635,non functional
14884,functional
56725,non functional
33037,functional needs repair
22190,functional
47459,functional
68908,functional
62670,functional
60866,functional
2136,functional
33320,functional
58126,functional
45604,non functional
67428,functional
52318,functional
33347,functional
36684,functional
41034,non functional
112,non functional
4807,functional
41845,functional needs repair
6065,functional
37187,non functional
26540,functional
8879,functional
30377,functional needs repair
20203,functional
8060,functional
59630,functional
10068,non functional
34609,functional
26701,non functional
46897,non functional
34636,functional
52520,functional
75,functional
31626,functional
3181,non functional
43098,non functional
37008,functional
34853,functional
48752,non functional
31132,functional
37562,functional
28740,functional
30257,non functional
53212,non functional
40729,non functional
48695,functional
35140,non functional
46814,functional
7721,non functional
63695,functional
7171,non functional
58838,non functional
61046,non functional
68347,functional
14746,functional
14952,non functional
64334,functional
72374,functional
33169,functional
4907,functional needs repair
49994,functional
59588,functional needs repair
46893,functional
16944,non functional
35828,non functional
24377,functional needs repair
51694,functional
70241,functional
1780,non functional
39490,non functional
21704,functional
35193,functional needs repair
24948,non functional
6076,functional
18451,non functional
13042,non functional
34877,functional needs repair
10891,non functional
33500,non functional
1012,non functional
4321,functional
41162,non functional
31957,non functional
15815,functional
47462,non functional
28110,non functional
52448,functional
18832,functional
62720,functional
14326,functional
36933,functional
65093,non functional
50139,functional
36455,non functional
49732,non functional
20200,functional needs repair
43777,functional
42497,functional
52601,functional
65530,non functional
73024,non functional
18842,non functional
9474,functional
44434,functional
36366,functional
47236,functional
8633,functional
71487,functional
46268,functional
36093,non functional
2591,non functional
69669,non functional
67377,functional needs repair
51185,non functional
24049,functional
70835,non functional
74176,functional
68037,non functional
10992,functional
45886,functional
64793,functional
40808,functional needs repair
62565,functional
70379,non functional
10089,functional
37364,functional
43345,non functional
39310,functional needs repair
59713,non functional
28945,non functional
5074,functional
54009,non functional
35563,functional
17668,non functional
30390,functional
1298,functional
2993,functional
63712,functional
61979,functional
39704,functional
29191,functional
35649,functional
15840,functional
45415,functional
8055,functional
51403,functional
33963,functional
21669,functional
7900,non functional
337,non functional
17861,functional
13195,functional
54722,functional
2845,functional
17111,functional
21338,functional
49326,non functional
15358,functional
33040,functional
40592,functional
29513,functional
51163,functional
40920,functional
65101,functional
21127,functional
67822,non functional
14135,non functional
10458,functional
32089,non functional
8230,non functional
43433,non functional
62188,functional
19,functional
26577,non functional
68887,non functional
9382,functional
65238,functional needs repair
17897,non functional
29744,functional
23987,functional
26655,functional
17978,non functional
51558,non functional
48007,non functional
25534,non functional
13969,functional
39548,functional
25143,non functional
25736,functional
17516,functional needs repair
66980,functional
45444,functional
59310,non functional
59102,functional
61883,functional
93,functional
15988,functional
19304,functional needs repair
44092,non functional
66242,non functional
51611,non functional
53847,non functional
67634,non functional
24757,non functional
37524,functional needs repair
16341,non functional
39176,non functional
24836,non functional
73470,functional
11533,functional
74217,functional
7007,non functional
4101,functional
17041,functional
38725,non functional
39749,functional
62642,functional
49453,functional
63018,non functional
65932,functional
56863,functional
23835,non functional
34870,functional needs repair
39915,functional
9736,non functional
70019,non functional
20984,functional
20132,functional
5963,non functional
3740,functional
26943,functional needs repair
43742,functional
5784,functional
42548,non functional
5121,non functional
57478,functional
58537,non functional
3627,non functional
4062,functional
15832,non functional
34741,functional
67097,functional
4437,non functional
65817,non functional
39559,non functional
54412,functional
25344,non functional
2301,functional
32844,non functional
59874,functional
50233,functional
29639,functional
65584,non functional
43808,non functional
6788,functional needs repair
51220,non functional
16872,functional
66383,non functional
58599,non functional
29383,functional
36809,functional
29753,functional
72112,functional
34926,functional
59898,functional
779,functional
68126,non functional
48102,functional
24794,functional
29771,functional
29052,functional
4923,non functional
38642,functional
27079,functional
60111,functional
12478,non functional
67155,non functional
54733,functional
45654,non functional
54678,functional
1439,functional
16313,functional
6735,functional
3328,functional
1220,functional
57970,functional
44204,functional
63675,functional
40519,non functional
66382,non functional
45386,non functional
43604,functional
59053,non functional
1030,non functional
52677,functional
1738,non functional
19548,functional
30897,functional
27523,functional
815,functional
14910,functional
11184,functional
49071,non functional
22000,functional
60074,non functional
60374,functional
25913,functional needs repair
6205,non functional
48390,non functional
3980,non functional
11905,non functional
45320,functional
31264,functional
16537,functional
9096,non functional
33104,functional
11754,non functional
4147,functional
53577,functional
42476,functional
68995,functional
32255,non functional
8699,non functional
1203,functional
70666,functional
26293,functional
44358,functional
64687,functional
71489,functional
61994,functional
42306,functional
67453,functional
11581,functional
14123,functional
18266,non functional
59263,functional
6387,functional
28359,non functional
17571,non functional
53558,functional
66967,functional
72238,non functional
12207,functional
68495,functional
19283,functional
38565,functional
3522,functional
21927,functional
60029,functional
26851,functional
41968,non functional
