,col_name,feature_importance_vals
7,quantity,0.26506648425900675
3,construction_year,0.2275913803705877
1,gps_height,0.13155325437145363
0,amount_tsh,0.11868704016681662
13,quantXsource,0.08946400889592843
11,extractXheight,0.085155710507503
5,payment,0.07759464339321341
12,typeXyear,0.07685271564411265
4,extraction_type_class,0.05556413946562144
8,source,0.05491511306698851
2,population,0.05386489174280793
10,popXquant,0.05017054404405801
9,waterpoint_type,0.035001883071308096
6,water_quality,0.025696422563088316
14,yearsq,0.01571948428648199
